City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
266,Ixtapa,MX,20.7,-105.2,81.23,68,4,4.0,clear sky
267,Dallas,US,32.7668,-96.7836,55.58,38,75,6.91,broken clouds
268,Bowling Green,US,36.9903,-86.4436,38.14,65,5,6.4,clear sky
269,Pisco,PE,-13.7,-76.2167,68.05,73,100,8.05,overcast clouds
270,Port Blair,IN,11.6667,92.75,77.77,85,70,8.57,broken clouds
271,Dom Pedrito,BR,-30.9828,-54.6731,66.07,97,100,4.05,overcast clouds
272,Acajutla,SV,13.5928,-89.8275,84.07,68,15,5.03,few clouds
273,Saint-Philippe,RE,-21.3585,55.7679,71.19,88,91,13.02,light rain
274,Savannah Bight,HN,16.45,-85.85,82.36,69,26,7.25,light rain
275,Kamaishi,JP,39.2667,141.8833,45.73,71,6,8.68,clear sky
276,Port Keats,AU,-14.25,129.55,82.0,79,100,5.1,overcast clouds
277,El Dorado,US,38.7666,-120.5177,53.69,54,12,2.28,few clouds
278,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,28,8.01,scattered clouds
279,Vestmannaeyjar,IS,63.4427,-20.2734,45.07,95,100,11.72,light rain
280,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,14.97,overcast clouds
281,Mizdah,LY,31.4451,12.9801,58.64,44,4,1.14,clear sky
282,Plettenberg Bay,ZA,-34.0527,23.3716,57.47,81,0,4.05,clear sky
283,Nieuw Amsterdam,SR,5.8833,-55.0833,86.16,78,40,6.91,scattered clouds
284,Kavieng,PG,-2.5744,150.7967,83.43,73,99,13.71,overcast clouds
285,Albina,SR,5.5,-54.05,75.43,95,100,4.56,heavy intensity rain
286,Victoria,HK,22.2855,114.1577,75.33,84,25,11.99,scattered clouds
287,Abu Samrah,SY,35.3029,37.1841,61.57,48,0,5.73,clear sky
288,Biltine,TD,14.5333,20.9167,77.36,22,1,8.5,clear sky
289,Rosarito,MX,32.3333,-117.0333,65.48,63,86,4.29,overcast clouds
290,Cache Creek,CA,50.8101,-121.3246,40.91,91,60,2.53,broken clouds
291,Porto Novo,BJ,6.4965,2.6036,82.22,86,82,5.48,broken clouds
292,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,4.61,scattered clouds
293,Barra,BR,-11.0894,-43.1417,83.16,52,39,6.91,scattered clouds
294,Manadhoo,MV,5.7667,73.3833,81.09,74,99,8.25,overcast clouds
295,Konevo,RU,62.1215,39.3192,29.05,79,8,8.57,clear sky
296,Palmer,US,42.1584,-72.3287,49.64,65,93,4.0,overcast clouds
297,Boshnyakovo,RU,49.6333,142.1667,22.69,77,100,4.41,overcast clouds
298,Norman Wells,CA,65.282,-126.8329,10.44,85,20,0.0,few clouds
299,Rudnyy,KZ,52.9594,63.1206,37.63,97,100,16.42,overcast clouds
300,Georgetown,MY,5.4112,100.3354,80.24,95,20,0.0,few clouds
301,Lovozero,RU,68.005,35.0117,24.78,95,82,8.28,broken clouds
302,Katherine,AU,-14.4667,132.2667,77.32,88,86,0.0,overcast clouds
303,Phan Thiet,VN,10.9333,108.1,75.29,87,72,5.82,light rain
304,Sete,FR,43.4018,3.6966,64.44,77,100,15.1,overcast clouds
305,Bambanglipuro,ID,-7.95,110.2833,76.23,91,100,1.25,overcast clouds
306,Tshikapa,CD,-6.4167,20.8,71.67,89,81,2.71,light rain
307,Bengkulu,ID,-3.8004,102.2655,74.23,94,100,2.86,light rain
308,Manokwari,ID,-0.8667,134.0833,78.33,79,100,4.07,overcast clouds
309,Novyy Svit,UA,47.8059,38.0211,45.23,77,98,12.39,overcast clouds
310,Murgab,TM,37.4966,61.9714,40.87,70,3,6.91,clear sky
311,Margate,GB,51.3813,1.3862,54.9,90,45,3.0,scattered clouds
312,Nishihara,JP,26.1842,127.7558,72.68,84,40,18.41,scattered clouds
313,Nioro,GM,13.35,-15.75,79.9,41,100,5.19,overcast clouds
314,Monrovia,LR,6.3005,-10.7969,78.01,84,79,6.13,light rain
315,Nezhinka,RU,51.7676,55.3694,37.56,87,100,22.37,overcast clouds
316,Penzance,GB,50.1186,-5.5371,59.68,90,62,22.44,broken clouds
317,Sande,DE,53.5049,8.0142,45.01,93,14,9.6,few clouds
318,Hirara,JP,24.8,125.2833,76.26,79,100,21.94,overcast clouds
319,Carbonear,CA,47.7332,-53.2148,37.6,82,100,7.56,overcast clouds
320,Vostok,RU,46.4856,135.8833,10.6,96,22,4.41,few clouds
321,Geraldton,AU,-28.7667,114.6,63.01,51,3,12.66,clear sky
322,Doha,QA,25.2867,51.5333,80.58,63,0,4.61,clear sky
323,Dunedin,NZ,-45.8742,170.5036,52.81,78,100,5.01,overcast clouds
324,Ampanihy,MG,-24.7,44.75,71.65,78,0,5.73,clear sky
325,The Valley,AI,18.217,-63.0578,82.81,78,15,17.36,few clouds
326,San Patricio,US,28.017,-97.5169,62.55,54,40,11.41,scattered clouds
327,Tucurui,BR,-3.7661,-49.6725,84.29,63,78,3.09,broken clouds
328,Namatanai,PG,-3.6667,152.4333,82.54,73,74,10.56,broken clouds
329,Santa Maria,BR,-29.6842,-53.8069,69.17,91,79,11.25,broken clouds
330,Dzhebariki-Khaya,RU,62.2167,135.8,-11.22,100,100,0.94,overcast clouds
331,Celestun,MX,20.8667,-90.4,81.95,67,5,13.8,clear sky
332,Hue,VN,16.4667,107.6,78.91,94,75,5.75,broken clouds
333,Kuala Terengganu,MY,5.3302,103.1408,77.41,88,98,2.55,overcast clouds
334,Ludza,LV,56.55,27.7167,37.04,94,53,4.27,broken clouds
335,Labuhan,ID,-6.8844,112.2051,78.75,87,79,5.39,light rain
336,Baykit,RU,61.67,96.37,1.74,95,100,8.66,light snow
337,Vuktyl,RU,63.8567,57.3094,15.03,96,100,4.61,light snow
338,Zigong,CN,29.3416,104.7769,55.24,81,100,1.07,overcast clouds
